"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Kosovo","Electricity - total solar production","2018","Kilowatt-hours, million","2",""
"Kuwait","Electricity - total solar production","2018","Kilowatt-hours, million","4",""
"Lao People's Dem. Rep.","Electricity - total solar production","2018","Kilowatt-hours, million","11.5","1"
"Latvia","Electricity - total solar production","2018","Kilowatt-hours, million","1",""
"Lebanon","Electricity - total solar production","2018","Kilowatt-hours, million","48",""
"Liberia","Electricity - total solar production","2018","Kilowatt-hours, million","4","1"
"Libya","Electricity - total solar production","2018","Kilowatt-hours, million","8",""
"Liechtenstein","Electricity - total solar production","2018","Kilowatt-hours, million","25.2",""
"Lithuania","Electricity - total solar production","2018","Kilowatt-hours, million","87",""
"Luxembourg","Electricity - total solar production","2018","Kilowatt-hours, million","120",""
"Madagascar","Electricity - total solar production","2018","Kilowatt-hours, million","0.12","1"
"Malaysia","Electricity - total solar production","2018","Kilowatt-hours, million","632",""
"Maldives","Electricity - total solar production","2018","Kilowatt-hours, million","14",""
"Mali","Electricity - total solar production","2018","Kilowatt-hours, million","2.9","1"
"Malta","Electricity - total solar production","2018","Kilowatt-hours, million","190",""
"Marshall Islands","Electricity - total solar production","2018","Kilowatt-hours, million","2",""
"Mauritania","Electricity - total solar production","2018","Kilowatt-hours, million","144",""
"Mauritius","Electricity - total solar production","2018","Kilowatt-hours, million","49.3",""
"Mexico","Electricity - total solar production","2018","Kilowatt-hours, million","1856",""
"Micronesia (Fed. States of)","Electricity - total solar production","2018","Kilowatt-hours, million","2.7","1"
"Montenegro","Electricity - total solar production","2018","Kilowatt-hours, million","2.3",""
"Morocco","Electricity - total solar production","2018","Kilowatt-hours, million","950",""
"Mozambique","Electricity - total solar production","2018","Kilowatt-hours, million","2",""
"Myanmar","Electricity - total solar production","2018","Kilowatt-hours, million","10",""
"Namibia","Electricity - total solar production","2018","Kilowatt-hours, million","180",""
"Nauru","Electricity - total solar production","2018","Kilowatt-hours, million","1.18",""
"Nepal","Electricity - total solar production","2018","Kilowatt-hours, million","1",""
"Netherlands","Electricity - total solar production","2018","Kilowatt-hours, million","3693",""
"New Caledonia","Electricity - total solar production","2018","Kilowatt-hours, million","46.7",""
"New Zealand","Electricity - total solar production","2018","Kilowatt-hours, million","99",""
"Nicaragua","Electricity - total solar production","2018","Kilowatt-hours, million","24",""
"Niger","Electricity - total solar production","2018","Kilowatt-hours, million","32.7",""
"Nigeria","Electricity - total solar production","2018","Kilowatt-hours, million","28",""
"Niue","Electricity - total solar production","2018","Kilowatt-hours, million","0.469",""
"North Macedonia","Electricity - total solar production","2018","Kilowatt-hours, million","22.788",""
"Norway","Electricity - total solar production","2018","Kilowatt-hours, million","2",""
"Oman","Electricity - total solar production","2018","Kilowatt-hours, million","4",""
"Other Asia","Electricity - total solar production","2018","Kilowatt-hours, million","2739",""
"Pakistan","Electricity - total solar production","2018","Kilowatt-hours, million","714",""
"Palau","Electricity - total solar production","2018","Kilowatt-hours, million","0.25","1"
"Panama","Electricity - total solar production","2018","Kilowatt-hours, million","232.6",""
"Papua New Guinea","Electricity - total solar production","2018","Kilowatt-hours, million","1.39",""
"Peru","Electricity - total solar production","2018","Kilowatt-hours, million","797",""
"Philippines","Electricity - total solar production","2018","Kilowatt-hours, million","1249.1",""
"Poland","Electricity - total solar production","2018","Kilowatt-hours, million","300",""
"Portugal","Electricity - total solar production","2018","Kilowatt-hours, million","1006",""
"Puerto Rico","Electricity - total solar production","2018","Kilowatt-hours, million","81",""
"Republic of Moldova","Electricity - total solar production","2018","Kilowatt-hours, million","1",""
"Romania","Electricity - total solar production","2018","Kilowatt-hours, million","1771",""
"Russian Federation","Electricity - total solar production","2018","Kilowatt-hours, million","719.945",""
"Rwanda","Electricity - total solar production","2018","Kilowatt-hours, million","18.1",""
"Samoa","Electricity - total solar production","2018","Kilowatt-hours, million","21.117",""
"Sao Tome and Principe","Electricity - total solar production","2018","Kilowatt-hours, million","0.4",""
"Saudi Arabia","Electricity - total solar production","2018","Kilowatt-hours, million","1","1"
"Senegal","Electricity - total solar production","2018","Kilowatt-hours, million","80",""
"Serbia","Electricity - total solar production","2018","Kilowatt-hours, million","13",""
"Seychelles","Electricity - total solar production","2018","Kilowatt-hours, million","3.5",""
"Sierra Leone","Electricity - total solar production","2018","Kilowatt-hours, million","5.8","1"
"Singapore","Electricity - total solar production","2018","Kilowatt-hours, million","169",""
"Slovakia","Electricity - total solar production","2018","Kilowatt-hours, million","585",""
"Slovenia","Electricity - total solar production","2018","Kilowatt-hours, million","255",""
"Solomon Islands","Electricity - total solar production","2018","Kilowatt-hours, million","2.895",""
"South Africa","Electricity - total solar production","2018","Kilowatt-hours, million","4241",""
"South Sudan","Electricity - total solar production","2018","Kilowatt-hours, million","3",""
"Spain","Electricity - total solar production","2018","Kilowatt-hours, million","12744",""
"Sri Lanka","Electricity - total solar production","2018","Kilowatt-hours, million","186.296",""
"St. Helena and Depend.","Electricity - total solar production","2018","Kilowatt-hours, million","1.654",""
"St. Kitts-Nevis","Electricity - total solar production","2018","Kilowatt-hours, million","3","1"
"St. Lucia","Electricity - total solar production","2018","Kilowatt-hours, million","5",""
"St. Vincent-Grenadines","Electricity - total solar production","2018","Kilowatt-hours, million","1.964",""
"State of Palestine","Electricity - total solar production","2018","Kilowatt-hours, million","60",""
"Suriname","Electricity - total solar production","2018","Kilowatt-hours, million","4.4","1"
"Sweden","Electricity - total solar production","2018","Kilowatt-hours, million","407",""
"Switzerland","Electricity - total solar production","2018","Kilowatt-hours, million","1944",""
"Thailand","Electricity - total solar production","2018","Kilowatt-hours, million","4537",""
"Timor-Leste","Electricity - total solar production","2018","Kilowatt-hours, million","0.936",""
"Togo","Electricity - total solar production","2018","Kilowatt-hours, million","3",""
"Tonga","Electricity - total solar production","2018","Kilowatt-hours, million","4.147",""
"Trinidad and Tobago","Electricity - total solar production","2018","Kilowatt-hours, million","5",""
"Tunisia","Electricity - total solar production","2018","Kilowatt-hours, million","174",""
"Turkey","Electricity - total solar production","2018","Kilowatt-hours, million","7800",""
"Tuvalu","Electricity - total solar production","2018","Kilowatt-hours, million","2.0482",""
"Uganda","Electricity - total solar production","2018","Kilowatt-hours, million","32.2",""
"Ukraine","Electricity - total solar production","2018","Kilowatt-hours, million","1107",""
"United Arab Emirates","Electricity - total solar production","2018","Kilowatt-hours, million","1303.1",""
"United Kingdom","Electricity - total solar production","2018","Kilowatt-hours, million","12858",""
"United Rep. of Tanzania","Electricity - total solar production","2018","Kilowatt-hours, million","88",""
"United States","Electricity - total solar production","2018","Kilowatt-hours, million","85184",""
"United States Virgin Is.","Electricity - total solar production","2018","Kilowatt-hours, million","21.24","1"
"Uruguay","Electricity - total solar production","2018","Kilowatt-hours, million","413.5",""
"Uzbekistan","Electricity - total solar production","2018","Kilowatt-hours, million","0.2",""
"Vanuatu","Electricity - total solar production","2018","Kilowatt-hours, million","5.3",""
"Venezuela (Bolivar. Rep.)","Electricity - total solar production","2018","Kilowatt-hours, million","6",""
"Viet Nam","Electricity - total solar production","2018","Kilowatt-hours, million","23",""
"Wallis and Futuna Is.","Electricity - total solar production","2018","Kilowatt-hours, million","0.16","1"
"Yemen","Electricity - total solar production","2018","Kilowatt-hours, million","458",""
"Zambia","Electricity - total solar production","2018","Kilowatt-hours, million","0.93",""

"fnSeqID","Footnote"
"1","Estimate"
